Comment,Topic (choose from the 'key ' worksheet and type topic class number):,Sentiment (type Pos/Neg/Neu): ,Annotator Notes:
Everything going digital,11. Other,Neu,Fits 2 or more categories
Smart Cities to me tells me that the city is equipped with resources at your fingertips for those needing help or value information.,8. Smart building technologies and IoT applications,Pos,Fits 2 or more categories
"Possibility of a fast rail transportation connecting Dallas, Austin and Houston ",1. Transportation systems/vehicles and autonomy,Neu,
Airport expansion and a new stadium downtown for The San Antonio Missions.,11. Other,Neu,
Much better public transportation.   Easily accessible wifi/internet for all. Stable energy grid and energy delivery.  Lots of green spaces for recreational and for wildlife.  ,1. Transportation systems/vehicles and autonomy,Pos,Fits 2 or more categories
"Energy efficient structures, hybrid/ electric fleet, wireless internet available. ",6. Public utilities for energy/water/and waste management,Pos,Fits 2 or more categories
Better public transportation. Light rail?,1. Transportation systems/vehicles and autonomy,Neu,
Businesses,8. Smart building technologies and IoT applications,Neu,Fits 2 or more categories
a light bulb turned on by a smart device (phone/remote/etc.),6. Public utilities for energy/water/and waste management,Neu,
Free wifi,3. Wireless communications and broadband applications,Neu,
Equity,10. Community well-being,Neu,
Track crime,10. Community well-being,Neu,
"San Antonio prioritizes sustainability, public health, and green spaces without the encroachment of big businesses like other cities. It's not perfect but they are trying",10. Community well-being,Pos,
Hopefully better public transportation!,1. Transportation systems/vehicles and autonomy,Pos,
I hope for the city to become more walkable and less car dependent. ,1. Transportation systems/vehicles and autonomy,Neu,
"Wasteful Gov spending, catch phrases, word salads, offerings to the low information voter to garner their botes",2. Data governance and city data platforms and dashboards,Neg,Fits 2 or more categories
"Using technology to reduce pollution, improve access to services with the use of virtual lines, face time, and more online portals for city services.",5. Community resilience/adaptability/and sustainability,Pos,
Trains and walkable cities. ,1. Transportation systems/vehicles and autonomy,Neu,
I am mostly anxious about San Antonio being livable in 30 years with climate change. I think we have the potential to be completely carbon neutral with solar and wind power. We could focus on real transit solutions like rail and increase our tree cover to make walking around the city a true pleasure to experience the great cultural diversity we have in this beautiful city.,6. Public utilities for energy/water/and waste management,Pos,Fits 2 or more categories
A commitment to technology and infrastructure growth to keep up with rapid population growth.,10. Community well-being,Neu,
Accessibility ,11. Other,Neu,
"A city that optimizes resources and use modern technologies to improve its residents lives. A city with limited suburban sprawl (San Antonio has a huge problem with that and apparently no one is doing anything about it), mixed used areas with medium/high density living buildings with condos at higher floors and retail space at street level (not just at the Pearl or Downtown, but everywhere), effective frequent and reliable public transportation including busses and light railway system, frequent train connections with other cities (it's ridiculous to have only one train per day to Austin that takes 3 hours to arrive there).",5. Community resilience/adaptability/and sustainability,Pos,Fits 2 or more categories
Apps with clean interface to find resources near me ,3. Wireless communications and broadband applications,Neu,Fits 2 or more categories
"Innovation, efficiency, transparency and accessibility",5. Community resilience/adaptability/and sustainability,Neu,
"To be honest, I am worried.  Mostly about water.  I don't understand why there is so much emphasis on growth when we face water restrictions every summer and we see what is happening out west (Lake Mead).  Can technology make water?    So whatever, technology can do to reverse the effects of climate change I'm all for.  I believe a light rail system would help ease our dependence on cars at least.",6. Public utilities for energy/water/and waste management,Neg,
Wasted expense,11. Other,Neg,
Technologies y ciudada moderno,8. Smart building technologies and IoT applications,Neu,Spanish
Make them more user friendly and accessible ,11. Other,Neu,
Technology solutions implemented with human-centered design to improve issue areas in our city that affect residents the most. ,8. Smart building technologies and IoT applications,Neu,
Make the use of servaces easier and more convient to use,5. Community resilience/adaptability/and sustainability,Neu,
Taking advantages of existing technology.  Creating new technology where needed.,8. Smart building technologies and IoT applications,Neu,
Growth and the chance to build up tech in an informed manner by learning from the successes and mistakes of other large metro areas.,10. Community well-being,Neu,
good air quality and growth,6. Public utilities for energy/water/and waste management,Neu,Fits 2 or more categories
"Provide ways to conveniently connect with City departments, any day of the week, any time of the day. ",2. Data governance and city data platforms and dashboards,Pos,Fits 2 or more categories
"Support public transport, communicate important information to city inhabitants",1. Transportation systems/vehicles and autonomy,Neu,Fits 2 or more categories
Let the horrible traffic  give SA enough data to know that the emissions are harmful to our environment and health and that it̥s a big waste of time to sit in traffic and bad for physical and mental health. The traffic in SA is awful. We are a fossil fool city. ,2. Data governance and city data platforms and dashboards,Neu,
centralized databases for information,2. Data governance and city data platforms and dashboards,Neu,
Cities that use data-driven decisions to develop and make decisions. ,3. Wireless communications and broadband applications,Pos,
"I am not excited yet. I would love to see more industries and a more diversity, multi-cultural city. ",10. Community well-being,Neu,
"Track vehicle usage to improve traffic flow and perhaps targeted feedback (not tickets, but a violation of sorts).  ",3. Wireless communications and broadband applications,Neu,Fits 2 or more categories
"I would like technology to be used to improve dmv, legal, court services.",2. Data governance and city data platforms and dashboards,Pos,
"The growth of the city provides many opportunities, and challenges, to provide more socioeconomic benefits for the citizens.",5. Community resilience/adaptability/and sustainability,Neu,Fits 2 or more categories
"The ability to live in a safe, environmental friendly, affordable, stimulating community",10. Community well-being,Pos,
Identifying needs/gaps in services; tracking improvements and progress;  closing education gaps ,9.  Education and workforce development,Neu,Fits 2 or more categories
"I look forward to the day when all of the road construction becomes complete. It seems as if San Antonio is forever ""under construction"". I realize that sometimes these things take time - and some of the work that is being done is past due. However, I look forward to the day that I can drive on Fredericksburg without a colossal amount of construction taking place. ",11. Other,Neg,
"Urbanization, walkability, and public transit.",1. Transportation systems/vehicles and autonomy,Neu,Fits 2 or more categories
The potential to develop into a next generation city.,8. Smart building technologies and IoT applications,Neu,
Continue using data to engage and gather citizen feedback. ,2. Data governance and city data platforms and dashboards,Pos,Fits 2 or more categories
More growth and more opportunities ,11. Other,Neu,
Well for starters to actually help police help the community a lot faster ,10. Community well-being,Pos,
"More efficient and effective use of resources - traffic patterns, energy usage, improve procedures",5. Community resilience/adaptability/and sustainability,Pos,
"Forward thinking/planning for the future, looking for new technologies to solve current problems, I.e. high speed rail tech to increase and improve public transportation needs, affordable internet programs for all families, etc ",1. Transportation systems/vehicles and autonomy,Pos,Fits 2 or more categories
A 'smart city' is one that uses technology to improve the well-being of the citizens of the city. ,8. Smart building technologies and IoT applications,Neu,Fits 2 or more categories
"I would like technology improve response times for police, fire department or other emergency services and make them faster.",10. Community well-being,Pos,Fits 2 or more categories
"There are people who support creating a thriving, safe and innovative San Antonio. I love this city and the community is unmatched- but we need to focus resources on the most vulnerable  and continue to support each other. ",10. Community well-being,Pos,
Technology can be used to provide unbiased and in depth information regardless current issues in the city. It can also be used to help those with disabilities become more independent.,8. Smart building technologies and IoT applications,Pos,Fits 2 or more categories
Access to information is critical for people to have to manage their own health and healthcare. It is critical that they know how to get evidence based information and not have to rely on social media means.,2. Data governance and city data platforms and dashboards,Neu,Fits 2 or more categories
I think of integrated systems built for convenience and ease of access while protecting privacy and against cyber attacks. I see clean rail connecting congested communities rather than more highways and efforts to capture and conserve more water or recycling our resources so that times of drought are mitigated. I see integrated transportation routes that give many options to all people regardless of socioeconomic status and I see equity as the driving force and through line by which decisions are made. ,4. Cybersecurity and privacy for public and private sectors,Neu,Fits 2 or more categories
"Not much, it̥s mismanaged.",11. Other,Neg,
Technology that makes things easier and cheaper,2. Data governance and city data platforms and dashboards,Pos,
Optimization of public transit to serve a broader community more effectively and reliably.,1. Transportation systems/vehicles and autonomy,Pos,
More eco-friendly and cost effective programs ,6. Public utilities for energy/water/and waste management,Pos,
Better and more affordable public transportation to ease the roadways. ,1. Transportation systems/vehicles and autonomy,Pos,
That we are still small enough to improve our roads and infrastructure,1. Transportation systems/vehicles and autonomy,Neg,
"I would like for it to mean greater access to internet and wifi, but all that comes to mind are the dumb kiosk located downtown.",3. Wireless communications and broadband applications,Pos,
"Clean, high tech vehicles and solid infrastructure ",1. Transportation systems/vehicles and autonomy,Neu,
use drones or highway cameras to monitor traffic violations such as street racing,1. Transportation systems/vehicles and autonomy,Neu,
Good city officials we have now. Hope it continues. ,11. Other,Pos,
What San Antonio will be doing for the city to improve Development,11. Other,Neu,
"To make services more efficient, less time consuming.",2. Data governance and city data platforms and dashboards,Neu,
provide inexpensive internet for the less fortunate and elderly.,3. Wireless communications and broadband applications,Neu,
Right now not feeling excited about the future of SA,11. Other,Neg,
"Economic growth, strong demographics and the opportunity to shape the influence those will have.",11. Other,Neu,
The diversity and culture,11. Other,Neu,
A commuter rail. Hopefully that happens. ,1. Transportation systems/vehicles and autonomy,Pos,
Nothing at this time -  get rid of the hoodlums & then we an talk,11. Other,Neg,
"Honestly, the term conjures mental images of wifi everywhere, surveillance cameras everywhere, person/phone tracking.  A lot of scary technocratic 'improvements' that fail to improve things but do mean everyone is giving up privacy.",4. Cybersecurity and privacy for public and private sectors,Neg,Fits 2 or more categories
Smarter red lights. Sensory,1. Transportation systems/vehicles and autonomy,Neu,
"high job growth, sustainable development, more and better access to natural areas and parks, economic diversity, diverse and inclusive community",9.  Education and workforce development,Neu,Fits 2 or more categories
The fact that I'm being asked these questions. ,11. Other,Neg,
"SINGAPORE and FINLAND: Computerized environmentally-friendly city with lots of greenspace and futuristic public transportation and high-speed commuter rail, plug and play innovation spaces and innovation parks, healthcare booths around the city and in parks, experiments in desalination and sourcing water from Gulf, rain capture systems across city and new ponds and lakes with fish for fishing, forage-ready public gardens and fruit trees in all green spaces, green rooftops for existing buildings, new green buildings with green vines and trees climbing exteriors, biodomes, sidewalks, collaboration and support services for small businesses and innovators (including patenting, funding, and mentoring), new experiential learning education methods tested and used at all levels, public labs in parks, high-tech teaching and learning centers, dashboards for city services and natural resources, totally digitized public services, experiments in alternative and affordable housing (even using pods), free and safe wifi in parks and across all public spaces, experiments always active in innovation in all city services, collaborations between universities and city for innovation experiments, digital interactions between citizens and city officials and staff, use of holograms, electric vehicle infrastructure, future forward and green international direct flight airports and ports, more independent and small shops, cafes and restaurants, digitized and better timed street signals (not spy cameras for police), including and diversity considered in every decision, delivery pods and drones for groceries, packages, and mail, more public gathering and sharing spaces and platforms that match citizen's skills and needs, future job training for citizens, more biking areas, public art integrated in all public spaces, one central app for city services, thinkers groups, turning garbage dumps into hiking hills and trails, bio-packaging requirements, innovations in waste management.",11. Other,Neu,
"The growth, the possibility to leverage new technologies and ability to refine upon and better implement policies already in place in place larger cities.",8. Smart building technologies and IoT applications,Neu,
When I think of smart cities I think of places like New York City who have public transportation all throughout the state of NY. ,1. Transportation systems/vehicles and autonomy,Pos,
There are so many people working hard to make things better here - so much passion and dedication. ,11. Other,Pos,
See how it progresses ;  Idk,11. Other,Neg,
"More accessible and easy to navigate websites and information about public services, including about transportation and healthcare options. Increasing online service options for different public services, like self serve portals or online meetings where possible or for contacting the city to get information or forms.",2. Data governance and city data platforms and dashboards,Neu,
"Technology needs to make public services accessible, transparent, and reliable. It should also be utilized in a way that reduces the reliance on human capital to execute services, thereby making it less prone to error and more streamlined/cost effective.",2. Data governance and city data platforms and dashboards,Neg,
That it is in the great state of Texas.,11. Other,Pos,
"connectiviity and electricity, solar power",7. Agriculture and rural productivity and quality of life,Neu,
Better environment ,5. Community resilience/adaptability/and sustainability,Pos,
Our progress toward Climate Control.,11. Other,Neu,
Providing open access speeds up action times.,2. Data governance and city data platforms and dashboards,Neu,
Update old computers in all the public libraries.,10. Community well-being,Neu,
"The restructuring of a city as an interconnected unit instead of separate, but equal entities. It means considering best solutions for an area over what will appear superficially impressive to visitors. This would mean prioritizing public transport funds in areas where residents who don't own cars receive improvements to public transit that will connect them to the city center first. Over say building it starting in downtown and then moving outward. Downtown holds the richer residents who are unlikely to not use cars, so to reduce traffic congestion build a road separate elevated transport network makes better sense.",1. Transportation systems/vehicles and autonomy,Pos,
Hoping not a rabbit hole that ends up being expensive and a waste of time.,11. Other,Neg,
I would be excited it they would stop building,11. Other,Neg,
Access to services on your phone ,2. Data governance and city data platforms and dashboards,Neu,
More qr codes. Uploading city documents (i.e. tax exemption) online,2. Data governance and city data platforms and dashboards,Neu,
"Nothing, the city continues to sacrifice quality of life issues for the sake of unbridled development, growth and irresponsible and out of control spending.",11. Other,Neg,
"Rail, better airport.",1. Transportation systems/vehicles and autonomy,Neu,
High technology that can answer your questions verbally and direct you to where you need to go. ,3. Wireless communications and broadband applications,Neu,
"City-wide WiFi, rail/tram systems.",1. Transportation systems/vehicles and autonomy,Neu,
Much better traffic signals management needed. Most intersections are holding up traffic flow in both directions much longer than needed.,1. Transportation systems/vehicles and autonomy,Pos,
Reliable bus and rail schedules synced to phones or texts. See NYC bus system for examples.,1. Transportation systems/vehicles and autonomy,Pos,
Speaking to someone live vs the maze of automated Q&A responses.,2. Data governance and city data platforms and dashboards,Neg,
The peoples need for better transportation and housing closer to the center of the city.,1. Transportation systems/vehicles and autonomy,Neu,
smart city while preserving and displaying our history and culture. ,8. Smart building technologies and IoT applications,Pos,
The first step is to ensure equal access to technology. We need to ensure every home has access to services. We have areas of the city with little to no access to technology. As a city we should be supplementing this.,10. Community well-being,Neg,
"There can be a city-wide San Antonio digital ID system that connects things like your library card with bus transport. You can earn points by being a good citizen (interacting positively with public facilities) to be ""cashed in"" for various benefits or services.",8. Smart building technologies and IoT applications,Pos,
"Continuing our culture, history, and community. Advocating for more equitable practices, green spaces, and innovative and creative development ",11. Other,Pos,
"a city that harmonizes the the needs of humans and the needs of nature. a city that seeks to unite it's inhabitants by promoting community, walkability, and connectivity. a city that promotes thoughtful design that fits the needs of it's inhabitants while defining a unique building culture for san antonio. a city that seeks for the wellbeing of its inhabitants through physical health, mental health, and food equity.",5. Community resilience/adaptability/and sustainability,Pos,
"A city that is planning for the future: exploring new industries, new housing communities w affordable solar energy, developing the inner city (homes, employment and education), promoting healthy living, and opportunities for small businesses and addressing crime. ",5. Community resilience/adaptability/and sustainability,Pos,
"Stay on top of social media posts to inform the masses as well as an easy to navigate website to keep myself updated with what̥s going on in the city. I think having a public tv channel that only has city information (voting rights/locations, exactly what we̥re voting on, who were voting for, development changes, issues in the city, etc) just keep us informed.",2. Data governance and city data platforms and dashboards,Neu,
Adaptable for individuals with wheelchairs,10. Community well-being,Neu,
Better communication of services,2. Data governance and city data platforms and dashboards,Neu,
As a San Antonio native who has come back home after obtaining a Master's Degree in social work in DC I realized I missed the family feel and rich culture that we have but there a major shock in the difference of core services that help offset issues stemming from what we're lacking. We're a strong community that will continue to improve that is most exciting to me.,5. Community resilience/adaptability/and sustainability,Pos,
Rail service to Austin potentially. ,1. Transportation systems/vehicles and autonomy,Neu,
Provide an app to monitor water and energy consumption in our homes. ,3. Wireless communications and broadband applications,Neu,
"Data, efficiency, participation, engagement, and understanding just to start.",11. Other,Neg,
"Cities that are connected via technology but secure technology, smart and easy to utilize public transit, smart fuel efficient non-gas vehicles, an educated citizenry in a city that is leading the nation in governance, technology, and services.",1. Transportation systems/vehicles and autonomy,Pos,
"Parks and Trails but��. Our city is rottening slowly with border crime, technology is need for residential communities for crime on roads/private property.",4. Cybersecurity and privacy for public and private sectors,Neg,
The possibility of leading the charge in renewable and sustainable energy ,6. Public utilities for energy/water/and waste management,Neu,
Public Transit!!,1. Transportation systems/vehicles and autonomy,Neu,
Nice to see that plans are being made to create a smarter city.,11. Other,Pos,
"Nothing, this town is stuck in its past and many people refuse to move forward. This town is so large and yet public transportation is a joke, gridlock is normal. This is just an exercise to check boxes for the funding being received. We will not move forward with the mindset that remains in this community.",11. Other,Neg,
More diversity and ideas coming from the people moving here.,10. Community well-being,Pos,
City wide train system like the dart train in Dallas,1. Transportation systems/vehicles and autonomy,Neu,
electric cars ,1. Transportation systems/vehicles and autonomy,Neu,
To create a more efficient transportation system. Allowing everyone on the city to have a chance to commute even those without vehicles ,1. Transportation systems/vehicles and autonomy,Pos,
All the infrastructure to com,7. Agriculture and rural productivity and quality of life,Neu,
Rail car,1. Transportation systems/vehicles and autonomy,Neu,
dumb people,11. Other,Neg,
Quiet city and welcoming,11. Other,Pos,
better technology and faster processes,8. Smart building technologies and IoT applications,Pos,
For those of us who can't afford internet public information announcements thru TV and radio when events and services are available. ,3. Wireless communications and broadband applications,Neu,
Moving forward toward long term solutions for today's problems.,11. Other,Neu,
Easier to access information ,2. Data governance and city data platforms and dashboards,Pos,
A hopeful reduction in crime. ,4. Cybersecurity and privacy for public and private sectors,Neu,
"All of the growth in housing, and school funding. Helping the middle class succeed",9.  Education and workforce development,Pos,
Tech city. One with digital access to unlimited resources. I think of it like an Apple. How everything is connected or synced between devices. ,8. Smart building technologies and IoT applications,Pos,
Wifi made more accessible. The city website made easier to navigate. Make the technology mobile phone friendly. ,3. Wireless communications and broadband applications,Pos,
"That there's a lot of brilliant people working together to build lasting, scalable models of equity and sustainability within our communities.",5. Community resilience/adaptability/and sustainability,Pos,
"Clean energy investments (household to commercial), efficient and reliable public transportation, clean energy transportation infrastructure (light rail, subways, trains), reliable and low-cost internet service options, ",1. Transportation systems/vehicles and autonomy,Pos,
Make city/community resources available in an easy to digest format. 211 sucks,1. Transportation systems/vehicles and autonomy,Neg,
"I imagine a city with safe, reliable transportation (maybe a train or above ground metro system) and walkable spaces, with affordable housing and an emphasis on green spaces and eco friendly lifestyles. I also think of a city that promotes health by making healthier foods accessible and helping people find ways to exercise.",1. Transportation systems/vehicles and autonomy,Pos,
Increased public transportation such as rail in order to connect areas outside of the downtown area.,1. Transportation systems/vehicles and autonomy,Neu,
"Economical growth, something to distinguish SA to other major metropolitan cities such as cultural. Easy access to 5G/Fiber",11. Other,Pos,
Online portal,2. Data governance and city data platforms and dashboards,Neu,
"I personally rather speak to someone in person about any type of legal assistance.  For those who have no mobile way then yes, Internet access  would be helpful with a chat person on the other end where you can receive guidence on what steps are needed to receive help on your issues.",10. Community well-being,Neg,
Still able to access a person to talk to and not a machine.,2. Data governance and city data platforms and dashboards,Neg,
How much our youth can have a say in our future their future if we just ask them,11. Other,Neg,
"That the current Administration has been so wonderful and supportive of all the employees. If we continue to have that atmosphere for our everyday lives, it augers well for our future. Having employees who realize that they are valued will allow wonderful things to happen.",11. Other,Pos,
The move towards a cleaner and environmentally  conscious city,7. Agriculture and rural productivity and quality of life,Pos,
family oriented city,11. Other,Neu,
Our historical past and multi-cultural future. We can build things better because we have the local know-how.,11. Other,Pos,
Cities that are up to date in technology,8. Smart building technologies and IoT applications,Neu,
Better safeguards,4. Cybersecurity and privacy for public and private sectors,Neu,
The growth of organizations like SA Speak up,11. Other,Neu,
A city with good transportation to and from where it̥s citizens need to go.,1. Transportation systems/vehicles and autonomy,Neu,
Any major city out West,11. Other,Neu,
Increased transportation options and better coordination to fix streets and infrastructure more quickly.,1. Transportation systems/vehicles and autonomy,Pos,
Less traffic and pollution ,1. Transportation systems/vehicles and autonomy,Neu,
"We could have an easy to use dashboard to get quick access to most public services like testing for covid locations, vaccinations and other city services. Most importantly creating a light rail system for San Antonio.",2. Data governance and city data platforms and dashboards,Pos,
"Room for all needed things in new growth, including schools, libraries, parks, and safe streets and walkways with public transportation options",7. Agriculture and rural productivity and quality of life,Pos,
"Cities that run more efficiently utilizing technology, community members, making access to communication networks more inclusive, and overall improvement of neighborhoods based on changes. Ex: new hospitals or emergency care services in every area for autistic residents ",10. Community well-being,Pos,
"NOTHING, MOST OF THE THINGS THAT ARE BEING WORKED ON HAS NOTHING TO DO WITH ASSISTANCE AND MORE TO DO WITH PUSHING AGENDAS ON OTHERS TO FOLLOW.",11. Other,Neg,
I am most excited to see San Antonio continue to prioritize its citizens by offering supportive and uplifting public services across a variety of realms.,10. Community well-being,Pos,
A hopeful optimism about a light rail (similar to DART). New growth in industry especially the public health sector.,1. Transportation systems/vehicles and autonomy,Pos,
"When I see the term Smart Cities i think about how San Antonio could become a Smart City by improving on the historic buildings, not overloading the streets with constriction all at the same time (allow some time for different areas not at the same time). ",7. Agriculture and rural productivity and quality of life,Pos,
Better public transportation. ,1. Transportation systems/vehicles and autonomy,Neu,
Maybe create an app that has a list of all of the services the city has available ,3. Wireless communications and broadband applications,Neu,
An open vote application for voting on public housing development. I think dense missing middle housing that is rent to own that matches the residential design aesthetic in defunct shopping spaces would be a better development utilization than twisting arms to build in the middle of established residential areas. This lessens housing demand and is not expecting private citizens to fill in those market demands with faulty solutions like casitas. It's also an easier fix than lobbying for zone changes if it's enacted by the city as an ordinance.,3. Wireless communications and broadband applications,Neg,
Innovative technologies to reduce pollution and reduce time in public buildings,6. Public utilities for energy/water/and waste management,Pos,
Focus on local cultures,11. Other,Neu,
Using older technologies to their fullest. Telephones that are answered by real people etc.,2. Data governance and city data platforms and dashboards,Neu,
Support organizations like Geekdom.,11. Other,Neu,
It's about time we entertain a bullet train. One that stops in ,1. Transportation systems/vehicles and autonomy,Neu,
"Smart is keeping the community safe. Analysimh the changes. People work from ho,Ed now. Neighbors blasting music at all hours isn̥t acceptable. Residential streets over crowded with cars. Each home should be limited to the amount of vehicles. Causes accidents and too dangerous for kids to play outside.",10. Community well-being,Neg,
Create user friendly apps to register for programs,3. Wireless communications and broadband applications,Neu,
Sensors on pubic assets and infrastructure to alert to when repairs and service interruption occurs.,8. Smart building technologies and IoT applications,Neu,
More transparency in services that are offered and how to use there. Better response times for all services. Better data on services are being utilized. ,2. Data governance and city data platforms and dashboards,Pos,
Continuing technological innovation and greater appreciation for the culture and heritage that has been here for a long time. Also connected greenways and green spaces with lots of shade excite me!,7. Agriculture and rural productivity and quality of life,Pos,
Rail system,1. Transportation systems/vehicles and autonomy,Neu,
Internet needs to classified as a utility so that all citizens have access to it in their home. ,3. Wireless communications and broadband applications,Neu,
Connected infrastructure and ways for residents to plug into initiatives and self-organize around shared priorities in a transparent way. Efficiencies and economies of scale through tech investments and innovation. Tap into communal brainpower and lower bar to participation. Some of the best ideas may come from people who aren̥t tech savvy.,11. Other,Pos,
"If the City of SA aids small businesses and start-ups, we are excited about life and excitement returning to SA.",11. Other,Pos,
Having the most recenet information possible,2. Data governance and city data platforms and dashboards,Neu,
QR codes placed on city property to help connect residents to important info. ,2. Data governance and city data platforms and dashboards,Pos,
"Using technology in public spaces to improve quality of life including public safety, transit, and access to data",8. Smart building technologies and IoT applications,Neu,
Technology based; using technology to provide more efficient services or environment.,8. Smart building technologies and IoT applications,Neu,
Taking advantage of and using technology to make cities more equitable and just for all and more regenerative. ,8. Smart building technologies and IoT applications,Pos,
"After living  and working for the city 28 years, I am enjoying being a tourist in my own city. Looking forward to seeing better public transportation.",1. Transportation systems/vehicles and autonomy,Pos,
Updated and modern,11. Other,Neu,
sustainability,5. Community resilience/adaptability/and sustainability,Neu,
Having access to public services in public parks,7. Agriculture and rural productivity and quality of life,Neu,
invested in technology ,8. Smart building technologies and IoT applications,Neu,
Make it accessible like San Diego,11. Other,Neu,
"Cities that leverage technology to make for improve transportation, communication accessibility  and connectivity within the community.",5. Community resilience/adaptability/and sustainability,Neu,
City designed to be successful/thrive in 20 yrs,11. Other,Pos,
"Using technology to better geo thermal, solar and wind energy that already exists. ",5. Community resilience/adaptability/and sustainability,Pos,
A city that is technologically advanced to help the people have more accessibility ,11. Other,Neu,
"infrastructure upkept and well maintained. (roads, bridges, public transport, power grid)",1. Transportation systems/vehicles and autonomy,Neu,
More convenient forms of transportation and greater access to healthcare.,1. Transportation systems/vehicles and autonomy,Neu,
"que mejore la direccion hacia un futuro con gobernantes, lideres y ciudadanos mas responsables y realistas de lo que sucede en nuestro San Antonio, mas sano y limpio en mentalidad reparado de las leyes que estan danando a  nuestra comunidad con leyes que aumentan la violencia, la irracionalidad, y no valorar la vida, creando una comunidad sin conciencia y responsabilidad. Me emociona ver a mi ciudad de San Antonio avanzado en salud fisica y mental, y en educacion para todos. ",11. Other,Pos,
"No opinion.  This is a very low priority for me.  I just want less bike lanes taking up room on city streets, lower taxes, and less homeless people of street corners (for reasons or property values and public safety).",11. Other,Neg,
More technology,8. Smart building technologies and IoT applications,Neu,
Improving all around,11. Other,Neu,
A technologically modern city,8. Smart building technologies and IoT applications,Neu,
Street lights synched using WiFi technology. Real time traffic alerts.,1. Transportation systems/vehicles and autonomy,Neu,
Make rail available,1. Transportation systems/vehicles and autonomy,Neu,
Fund free internet/wifi in low income neighborhoods ,3. Wireless communications and broadband applications,Neu,
Better quality of life for residents. ,7. Agriculture and rural productivity and quality of life,Neu,
Seamless transportation options,1. Transportation systems/vehicles and autonomy,Neu,
More accessible to transportation and food help,1. Transportation systems/vehicles and autonomy,Neu,
"Good  public transportation,  clean air",1. Transportation systems/vehicles and autonomy,Pos,
"Christian values or other beliefs, to allow community ",10. Community well-being,Pos,
Actually it scares me that we will become the next Austin or San Francisco that so many locals will get pushed out by rich people moving here and driving up prices. ,11. Other,Neg,
Entertainment and safety,11. Other,Neu,
"Cities with good public transit, that collects the right data to focus on what most important- walkability, bikeability. Like Amsterdam or Vienna. The base of all smart cities should be the ability to function without a car",1. Transportation systems/vehicles and autonomy,Pos,
Environmentally safe and Smart with tech,7. Agriculture and rural productivity and quality of life,Pos,
Easier for the elderly,10. Community well-being,Neu,
"Technology friendly. QR codes setup to help guide where you need to go. Ex. ""For directions to Alamo, scan here"" and then it proceeds to open up maps to lead them there. ",8. Smart building technologies and IoT applications,Pos,
It's ability to overcome challenges and progress to better serve ALL groups,10. Community well-being,Pos,
The new streets added,11. Other,Neu,
"I have an electro magnetic frequency sensitivity so I think of being electrocuted and having headaches from too much wireless. I hope you use wirED whenever possible to protect people like me. Also as a former military web mgr, I worry about hackers taking advantage of weak passwords.",4. Cybersecurity and privacy for public and private sectors,Neg,
Doing things to improve city services,11. Other,Neu,
"Access to easy public transportation, accessible routes, bike lanes, safe open public green spaces in all neighborhoods. ",1. Transportation systems/vehicles and autonomy,Neu,
Being able to access expanding senior services,10. Community well-being,Neu,
Traffic light sensors that detect pedestrians and oncoming traffic,1. Transportation systems/vehicles and autonomy,Neu,
"Que nuestros hijos tengan un futuro estable y seguro , con muchas oportunidades en todo ",10. Community well-being,Neu,
Accessible 24/7 - easy to find public facilities such as library or others,10. Community well-being,Neu,
smart schools,9.  Education and workforce development,Neu,
The number of people and businesses choosing San Antonio to call home.,11. Other,Neu,
"Electrify trains, light rail. This technology is not old or expensive. ",1. Transportation systems/vehicles and autonomy,Neu,
Using the most current and safest access to technology and public transporation systems.,1. Transportation systems/vehicles and autonomy,Pos,
Improving public transportation to shopping locations would lesson traffic and increase efficiency.,1. Transportation systems/vehicles and autonomy,Neu,
Easy apps for public services and bill payments. Easily navigate government websites. Recordings of events and meetings.  ,2. Data governance and city data platforms and dashboards,Pos,
"The first thing is more QR codes, easier to find answers to things when you're out- not to mention great for tourism. As for the real definition of the word, a smart city uses funding wisely, for the good of all, and with access to everyone- not just to those who can afford it.",2. Data governance and city data platforms and dashboards,Neg,
Growth;  Hopefully improved safety services and reduced police and fire response times;  Incorporation of city artists work and resources and opportunities for community members to prosper in school,11. Other,Pos,
User friendly ,11. Other,Neu,
"i like that it's growing, but i want to see the infrastructure also grow to support it.  our roads are littered with debris from unsecured trucks.  there are also potholes and crash debris.  ",1. Transportation systems/vehicles and autonomy,Pos,
Data-driven decision making on use of public funds.,11. Other,Neu,
Enhance public transportation and incorporate light rail.,1. Transportation systems/vehicles and autonomy,Neu,
San Antonio being known for technology!!!,11. Other,Pos,
Trains allowing for convenient and quick ways to move around the city.,1. Transportation systems/vehicles and autonomy,Neu,
Livability,7. Agriculture and rural productivity and quality of life,Neu,
It is rapidly growing and we are in a perfect time to figure out how to wrestle with this growth.,11. Other,Neg,
"Where I come from, all bus stops and electric train stations have big, covered, and safe bus stop waiting seats with digital boards that display the next 3 to 5 (some bigger stops downtown display even more) arrival times. The other side of those digital boards display city resources that cycle, and upcoming city events.",1. Transportation systems/vehicles and autonomy,Neu,
"Upgrading power infrastructure, building better roads and bridges",1. Transportation systems/vehicles and autonomy,Neu,
"I would like to see it used wisely and with purpose.  I would like to see technology used as a tool to help solve the problems SA is facing, not be employed for technologies sake.",11. Other,Pos,
up to date with all the new technology and resources ,8. Smart building technologies and IoT applications,Neu,
